ACHA;Angle Creek Headwaters;58.21069;-155.326;960.0;;Open
ACHAM;AfricaArray-Uganda/Tanzania - ZP, CHAM;-10.9505;31.0691;1211.0;;
ACHB;Acheberg;47.5876;8.2543;470.0;;Open
ACHE;Chepes;-31.161;-66.6637;1470.0;;
ACHIE;Chifra;11.5979;40.0188;938.0;;
ACHIM;AfricaArray - ZP, CHIM;-8.8263;34.0284;1100.0;;
ACHM;Chimeneas;37.105;-3.82967;862.0;;
ACHN;Ecuador-Chone-Fundacion Padre Fitzgeral;-0.6977;-80.0839;18.0;0;Open
ACHO;Acelerografo, Imbabuta - Chontal;0.2434;-78.771;668.0;1;Open
ACHO3;Achotines, Los Santos;7.415;-80.173;19.0;;Open
ACIG;Acambay;19.98;-99.88;1546.0;;Open
ACIS;Arcavacata di Rende;39.3591;16.2269;277.0;0;Open
AC-IS;Amchitka;51.38944;179.3425;61.0;;
ACJS;ManabÃƒÂ­ - Cojimies;0.3663;-80.0384;5.0;;Open
ACLA;Agua Clara, Sierra Llorona en Colsn;9.365;-79.7065;460.0;;Open
ACLC;CERRO LA CRUZ;-29.4255;-66.952;1650.0;;Open
ACLR;Calar Alto;37.18967;-2.58217;1490.0;;
ACLS;Los Chiles;11.0312;-84.7176;41.0;;
ACM;Allegan;42.6475;-85.85167;268.0;;
ACM01;Campo, CM01;2.389;9.834;330.0;;
ACM02;Meyiboto, CM02;2.698;13.289;539.0;;
ACM03;Yokadouma, CM03;2.519;15.034;470.0;;
ACM04;Ngan, CM04;2.979;11.959;579.0;;
ACM05;Kribi, CM05;2.942;9.914;36.0;;
ACM06;Ambam, CM06;2.385;11.268;574.0;;
ACM08;Ndonga, CM08;3.909;9.863;46.0;;
ACM10;Ngambe, CM10;4.223;10.619;613.0;;
ACM11;Abong Mbang, CM11;3.98;13.188;587.0;;
ACM12;Ntui, CM12;4.481;11.634;452.0;;
ACM13;Kumba, CM13;4.588;9.462;167.0;;
ACM14;Batouri, CM14;4.422;14.358;585.0;;
ACM15;Bare, CM15;5.034;9.933;976.0;;
ACM16;Bfoussam II, CM16;5.48;10.572;645.0;;
ACM17;Yoko, CM17;5.546;12.312;924.0;;
ACM18;Mamfe, CM18;5.723;9.355;171.0;;
ACM19;Magba, CM19;5.975;11.232;701.0;;
ACM20;Bu, CM20;6.225;10.054;595.0;;
ACM21;Tibati, CM21;6.467;12.62;711.0;;
ACM22;Ngaoundal, CM22;6.477;13.268;824.0;;
ACM23;Ntumbaw, CM23;6.37;10.793;1862.0;;
ACM24;Ntumbaw, CM24;6.523;14.288;1003.0;;
ACM25;Banyo, CM25;6.76;11.811;983.0;;
ACM26;Ngaoundere, CM26;7.265;13.548;1207.0;;
ACM27;Tignere, CM27;7.359;12.667;1025.0;;
ACM28;Poli, CM28;8.469;13.237;429.0;;
ACM29;Yelwa, CM29;9.347;13.385;243.0;;
ACM30;Figuil, CM30;9.757;13.95;279.0;;
ACM31;Yagoua, CM31;10.327;15.262;306.0;;
ACM32;Dougou, CM32;10.619;14.372;379.0;;
ACNC;Ecuador-Cuenca-Aeropuerto;-2.8943;-78.9917;2534.0;0;Open
ACO;Alabaster Cavern State Park;36.6986;-99.1461;521.0;;Open
ACOC;Ecuador-Coca-Secretaria de Gestion de Riesgos;-0.4395;-76.9983;263.0;0;Open
ACOM;Acomizza, Italy;46.548;13.513;1788.0;;
ACON;Acoyapa;11.968;-85.174;107.0;;
ACOR;Acrocorinthos;37.8902;22.8692;437.0;0;Open
ACOT;Cotacachi (Casa del Agua);0.2949;-78.2745;2482.0;;Open
ACP;Acatlan;18.20783;-98.05967;1250.0;;
ACP2;Acapulco;16.8743;-99.8865;167.0;;Open
ACQ;Acqui Terme;44.6826;8.4624;215.0;;Open
ACR;Cerro Adams;8.65317;-83.168;500.0;;
ACRM;Ecuador-Municipio El Carmen;-0.2718;-79.4519;247.0;0;Open
ACSO;Alum Creek State Park;40.23189;-82.98203;288.0;;Open
ACTO;Acton;43.60867;-80.06236;360.0;;Open
ACU;Canalobre;38.5114;-0.41056;580.0;;Open
ACUE;Ecuador-Cuenca-Rayo Loma Transelectric;-2.9098;-78.9588;2578.0;0;Open
ACVZ;;1.227;-77.35881;1470.0;;
ACX;Acapulco;16.8694;-99.8583;300.0;;
ACY;Acoyapa;11.99767;-85.22517;400.0;;Open
AD-;Adak Island;51.875;-176.67917;61.0;AD-IS;
AD01;Meldola (FC);44.0583;12.0975;284.0;;Open
AD02;Mondaino (RN);43.8471;12.6687;355.0;;Open
AD03;Mombaroccio (PU);43.791;12.8474;377.0;;Open
AD04;Corinaldo (AN);43.644;13.0398;227.0;;Open
AD05;S.Marcello (AN);43.5457;13.1822;216.0;;Open
AD06;Osimo (AN);43.4944;13.4366;112.0;;Open
ADAG;Mount Adagdak;51.98019;-176.60172;286.0;;
ADAL;Adalicio;-46.0314;-72.749;1159.0;0.5;Open
ADAT;Adana;37.0623;35.355;150.0;;Open
ADB;khalkal;37.37;48.2;1476.0;-100;
ADCS;Ashburton;-43.9041;171.7474;111.0;;
ADCV;BITLIS_Adilcevaz;38.808;42.7245;1774.0;;Open
ADDN;Jabal Ad Dan - Dhamar Gov. - Yemen;14.353;43.853;2473.0;;Open
ADE;Adelaide;-34.9669;138.709;655.0;;Open
ADEN;Aden;12.776;44.983;41.0;;Open
ADES;Adelaida;13.65833;-89.35833;1200.0;;Open
ADH;Angra Heroismo;38.655;-27.235;83.0;;
ADHO;DHOFAR2 - YR;17.2421;54.2845;914.0;;
ADI;Adamit;33.0789;35.225;470.0;;Open
AD-IS;Adak Island;51.875;-176.67917;61.0;;
ADIT;Lawson Adit, UC Berkeley, California;37.87;-122.26;100.0;25;Open
ADJ;ADJUD;46.0952;27.1821;102.0;;Open
ADJB;Djebel Djouab;36.15767;3.438;1140.0;;
ADK;Adak;51.8837;-176.684;116.0;;Open
ADKI;Addanki;15.8446;79.9686;49.0;;Open
ADL;Adelanto;34.5563;-117.417;900.0;;Open
ADMTO;DHOFAR2 - YR, DMTO;17.7302;55.0739;437.0;;
ADO;Adelanto Receiving Station;34.55046;-117.43391;908.0;;Open
ADOA;Andong Acc Borehole;36.5727;128.7009;169.0;20;Open
ADOK;Arcadia Dam;35.65206;-97.37111;316.0;;
ADR;Anderson Reservoir;37.16383;-121.62583;207.0;;Open
ADRA;Adra;36.78933;-3.04867;0.0;;
ADRI;Adria, Italy;45.0378;12.0167;1.0;;Open
ADSC;Addlestone Acy;32.81189;-80.01669;6.0;;
ADTE;Adait;11.1221;40.757;506.0;;
ADUR;Acelerografo, Guayas - Duran;-2.1594;-79.8421;7.0;1;Open
ADVT;Abdulvahap;40.4332;29.7383;193.0;;Open
ADWM;Drytown Water District;38.4392;-120.848;251.0;;Open
ADYE;Abi Ad;13.635;38.9811;1860.0;;
ADZR;Andozero;63.9295;38.2853;51.0;;Open
AECU;Ecuador Network;-0.2705;-78.407;3000.0;;
AEIL;Aeropuerto Ilopango;13.6971;-89.1166;634.0;;
AEKI;Aeknabara;2.10167;98.4536;840.0;;Open
AERF;Escuela - Rosario de la Frontera;-25.7975;-64.9716;800.0;;Open
AES1;Ecuador-Esmeraldas-Balao Refineria;0.9613;-79.6906;173.0;0;Open
AES2;Ecuador-Puerto Esmeraldas Inocar;0.9909;-79.6461;1.0;0;Open
AETJ;Atarfe;37.236;-3.688;794.0;;
AEU;East Anglia University;52.6201;1.23469;15.0;;
AF01;San Pedro de Atacama;-22.9521;-68.1789;2449.0;;Open
AFAR;Ash Flat;36.1333;-91.5312;239.0;;
AFDE;Aroley;13.2073;40.8571;-83.0;;
AFDM;Forest Hills Divide;38.948;-120.972;549.0;;Open
AFFS;`Afif;23.92669;43.0005;1090.0;;
AFH;Ashford Hill;51.3439;-1.21972;91.0;;
AFHM;Forest Hill Site;39.0418;-120.791;1064.0;;Open
AFI;Afiamalu;-13.9094;-171.777;706.0;;Open
AFIF;Afif;24.101;43.18;950.0;;Open
AFINE;Finto;12.0681;40.316;782.0;;
AFL;Alpe Faloria;46.53;12.18;2235.0;;
AFME;Afdera;13.204;40.8585;-58.0;;
AFON;Font Roja;38.6649;-0.5412;1120.0;;Open
AFR;Afareaitu;-17.5383;-149.778;50.0;;
