101,Yeremizino-Borisovskaya,ERBR,ERB,KMGSR,07.10.2009,,45.715,40.484,286,
102,Yerunakovskaya,ERU,ERU,ASGSR,20.06.2015,,54.14,87.384,358,
103,Jeleznogorsk,GZL,GZL,ASGSR,29.08.2002,,56.265,93.542,165,
104,Zheleznogorsk,-,JZD,KRAR,31.07.2015,,56.223,93.533,136,
105,Jeleznogorsk-2,GZLN,GZLN,ASGSR,24.12.2012,,56.383,93.767,212,
106,Jeleznogorsk-3,SHTK,SHTK,ASGSR,21.12.2012,,56.333,93.605,150,
107,Zholtye Prudy,-,NUD2,VMGSR,20.06.2013,,50.983,41.223,185,
108,Zakamensk,ZAK,ЗКМ,BAGSR,11.12.1960,,50.382,103.281,1200,
109,Zarechye,ZRHB,ZRH,BUGSR,01.12.1999,,52.545,107.159,480,
110,Zelenaya,ZLN,ZLN,KAGSR,30.10.1988,,56.017,160.803,1050,
111,Zemlya Franca-Iosipha,ZFI,ZFI,FCIAR,03.09.2011,,80.807,47.659,17,
112,Zemlya Franca-Iosipha-2,ZFI2,ZFI2,FCIAR,08.09.2011,,80.809,47.655,18,
113,Zeya,ZEA,ЗЕЯ,SAGSR,01.06.1976,,53.757,127.286,273,
114,Ivanovka,IVK,IVK,BAGSR,29.05.2011,,51.801,104.414,470,
115,Iengra,IENR,IEN,YAGSR,10.07.2004,,56.224,124.857,860,
116,Ilyinskoye,-,ILY,SAGSR,06.07.2013,,47.986,142.206,11,
117,Irkutsk,IRK,ИРК,BAGSR,02.12.1901,,52.243,104.271,467,
118,Istobnoye,-,ABD1,VMGSR,19.11.2014,,51.264,38.664,225,
119,Kabansk,KAB,КБ,BAGSR,01.01.1951,,52.05,106.654,468,
120,Kaitanak,KTNR,KTNK,ASGSR,18.05.2001,,50.145,85.465,1031,
121,Kaliningrad,KLNR,KLN,OBGSR,10.04.2009,,54.604,20.209,8,
122,Kamenistaya,KMNR,KMN,KAGSR,27.09.1990,,55.756,160.247,1145,
123,Kamenno-Verkhovka,-,AUB1,VMGSR,24.09.2009,,51.361,39.151,104,
124,Kamensk-Uralskiy,KAUR,KAU,OBGSR,02.04.2007,,56.432,61.503,168,
125,Kamenskaya,KMSK,KM1,KAGSR,05.07.2010,,62.467,166.206,45,
126,Karaman,KANR,KANR,DAGSR,01.12.2013,,43.196,47.489,-25,
127,Karanay,KRNR,KRN,DAGSR,04.04.1988,,42.827,46.905,1250,
128,Karymskiy,KII,KRY,KAGSR,10.02.1973,,54.036,159.449,900,
129,Karymshyna,KRMR,KRM,KAGSR,17.01.2000,,52.828,158.131,90,
130,Kasumkent,KSMR,KSM,DAGSR,01.10.1987,,41.602,48.125,930,
131,Kemerovo,KEM,KEM,ASGSR,19.05.2005,,55.343,86.089,133,
132,Kizimen,KZV,KZV,KAGSR,28.09.2009,,55.113,160.294,1500,
133,Kiyzas,KIYZ,KIYZ,ASGSR,26.12.2014,,53.558,87.759,247,
134,Kirisheva,KIRR,KIR,KAGSR,05.08.2006,,55.953,160.342,1470,
135,Kirovskiy,KROS,КРС,SAGSR,01.04.1974,,54.429,126.976,472,
136,Kislovodsk,KIV,-,OBGSR,14.09.1988,03.02.1994,43.955,42.686,1054,
137,Kislovodsk Array Site 0,KIV0,-,OBGSR,28.09.1992,,43.956,42.695,1196,
138,Klimovskaya,KLMR,KLMR,OBGSR,25.11.2003,,60.854,39.519,157,
139,Klyuchi,KLY,KLY,KAGSR,01.01.1946,,56.317,160.857,35,
140,Kozyrevsk,KOZ,KOZ,KAGSR,21.06.2001,,56.058,159.872,60,
141,Kolkhoznoe,-,KKHR,SAGSR,14.08.2006,,46.658,141.903,24,
142,Komgaron,KMGR,KMG,NOGSR,07.08.2010,,43.057,44.866,739,
143,Kopyto,KPT,KPT,KAGSR,23.10.1997,,55.966,160.222,1000,
144,Kora,KORR,KOR,NOGSR,03.11.2005,,43.086,44.068,618,
145,Korsakov,-,KOR,SAGSR,10.10.2008,,46.646,142.765,34,
146,Korsakov,-,KSKV,SAGSR,25.07.2002,,46.611,142.798,98,
147,Koryaka,KOK,KRK,KAGSR,30.08.1977,,53.296,158.643,1050,
148,Koryakskii retranslyator,KRER,KRE,KAGSR,15.01.2009,,53.304,158.749,1845,
149,Kostenkovo,KOST,KOST,ASGSR,31.08.2015,,53.651,86.822,325,
150,Kotokel,KELR,KEL,BUGSR,03.11.2005,,52.763,108.078,460,
151,Krasnaya Polyana,RPOR,RPOR,OBGSR,24.02.2010,,43.7,40.266,600,
152,Krasnodar,KGUR,-,OBGSR,02.11.2003,,45.022,39.03,66,
153,Krasnoe ozero,-,IZM,OBGSR,15.12.2007,,60.542,29.717,61,
154,Krasnoyarsk,KRAR,KRS,KRAR,24.12.1999,,56.012,92.873,127,
155,Krestovskiy,KRSR,KRS,KAGSR,08.04.1988,,56.217,160.565,1180,
156,Krutoberegovo,KBG,KBG,KAGSR,10.04.1968,,56.258,162.713,30,
157,Krutoberegovo,KBTR,KBT,KAGSR,05.04.1997,,56.208,162.819,360,
158,Kuba-Taba,KBTC,KBT,KMGSR,10.11.2006,,43.817,43.408,687,
159,Kuberganya,-,KBR,YAGSR,18.04.2014,,67.775,144.478,50,
160,Kuldur,KLR,-,OBGSR,15.09.1954,,49.236,131.738,486,
161,Kumora,KMO,КМР,BAGSR,26.09.1966,,55.887,111.203,490,
162,Kumukh,KMKR,KMKR,DAGSR,01.04.1985,,42.129,47.098,1898,
163,Kungur,PR3R,PR3,MIRAS,03.04.2003,,57.444,57.006,116,
164,Kungurtug,KNGR,KNGR,ASGSR,04.03.2012,,50.604,97.517,1314,
165,Kuragino,-,KRG,KRAR,04.12.2013,,53.882,92.678,257,
166,Kurilsk,KUR,КУР,SAGSR,01.01.1950,,45.231,147.873,40,
167,Kurilsk,KUR.TSU,КУР,SAGSR,05.09.2010,,45.231,147.873,40,
168,Kurchatov,-,KSU2,VMGSR,08.09.2015,,51.68,35.59,152,
169,Kuturchin,KTRR,KTR,KRAR,26.11.2004,,54.938,94.214,350,
170,Kyzyl,KZLR,KZL,KRAR,18.02.2002,,51.705,94.454,603,
171,Kyzyl,-,KZL,ASGSR,15.03.2001,,51.705,94.454,603,
172,Labinsk,LABN,LABN,OBGSR,26.09.2008,,44.641,40.724,290,
173,Lazarevskoye,LZRR,LZRR,OBGSR,31.07.2011,,43.935,39.38,180,
174,Lac,LACR,LAC,NOGSR,23.07.2004,29.09.2009,42.827,44.296,1276,
175,Lesken,LSNR,LSN,NOGSR,28.12.2006,22.03.2007,43.268,43.804,675,
176,Lesnoye,-,LSNR,SAGSR,02.06.2010,,46.96,143.028,32,
177,Leshukonskoye,LSHR,LSH,FCIAR,01.10.2006,,64.879,45.734,60,
178,Listvyanka,LSTR,LST,BAGSR,01.03.1999,,51.868,104.832,450,
179,Lovozero,LVZ,-,OBGSR,02.12.1992,,67.898,34.651,630,
180,Loginov,LGNR,LGN,KAGSR,01.09.1999,,56.083,160.69,2530,
181,Lopukhinka,-,LOPUX,OBGSR,08.12.2014,,59.732,29.388,148,Limestone
182,Luzhba,LUZB,LUZB,ASGSR,01.12.2006,,53.661,88.9,489,
183,Magadan,MA2,MA2,NEGSR,22.10.1993,,59.575,150.768,339,
184,Magadan1,NMA2,NMA2,NEGSR,17.09.2007,,59.55,150.8,50,
185,Makarovka,-,KAU1,VMGSR,01.06.2011,,51.692,35.528,167,
186,Maximikha,MXMB,MXM,BUGSR,01.10.1997,,53.263,108.745,510,
187,Malaya Ipelka,MIPR,MIP,KAGSR,11.11.1997,,52.276,156.758,370,
188,Malokurilskoye,-,SHO,SAGSR,30.11.2009,,43.87,146.834,30,
189,Malkovo,-,MLKV,SAGSR,04.07.2003,,46.771,143.35,7,
190,Makhachkala,MAK,-,OBGSR,08.12.1951,,42.946,47.504,42,
191,Mina,MINR,MINR,ASGSR,29.07.1985,,54.978,94.127,544,
192,Mikhnevo,MHV,-,IDG,13.05.1995,,54.96,37.766,150,
193,Mikhnevo array,MHVAR,-,IDG,01.10.2004,,54.96,37.766,150,
194,Moma,MOMR,MOM,YAGSR,05.03.1983,,66.467,143.217,192,
195,Mondy,MOY,МНД,BAGSR,01.10.1960,,51.668,100.993,1349,
196,Moskow,MOS,-,OBGSR,01.01.1936,,55.738,37.625,124,
197,Mutnovskii,MTVR,MTV,KAGSR,01.12.2008,,52.484,158.193,1390,
198,Mys Kozlova,MKZ,MKZ,KAGSR,25.09.1997,,54.556,161.73,520,
199,Mys Shultsa,MSHR.TSU,MSH,OBGSR,01.10.2008,,42.58,131.157,84,
200,Nalytchevo,NLC,NLC,KAGSR,31.03.1984,,53.172,159.348,6,
201,Nalchik,NCK,NCK,KMGSR,24.07.2006,,43.496,43.596,500,
202,Nachiki,NCHK,NCHK,KAGSR,04.12.2013,,53.12,157.76,465,
203,Nevelsk,NEVR.TSU,NEV,SAGSR,10.10.2008,,46.676,141.858,26,
204,Nevinnomyssk,NVNR,NVN,KMGSR,19.02.2007,,44.614,41.964,340,
205,Neytrino,NEY,NEY,KMGSR,05.12.2008,,43.249,42.722,1715,
206,Nelyaty,NLYR,НЛТ,BAGSR,08.09.2001,,56.491,115.703,596,
207,Neryungri,-,NYG,YAGSR,02.11.2001,,56.657,124.723,840,
208,Nizhneangarsk,NIZ,Н-А,BAGSR,21.10.1961,,55.775,109.542,509,
209,Nikolaevsk-na-Amure,NKL,НКЛ,SAGSR,01.07.1970,,53.146,140.681,15,
210,Novikovo,-,NOV,SAGSR,27.09.2013,,46.365,143.365,9,
211,Novoaleksandrovsk,-,NVA,SAGSR,26.10.2010,,47.032,142.72,45,
212,Novolazarevskaya,NVL,-,OBGSR,01.04.1962,,-70.77,11.83,125,
213,Novosibirsk,NVS,NVS,ASGSR,10.11.1965,,54.841,83.234,168,
214,Novosibirsk-2,NVSII,NVSII,ASGSR,01.01.2013,,54.842,83.237,159,
215,Novosibirskaya PS,NHES,NHES,ASGSR,28.02.2012,,54.855,82.985,121,
216,Novokhopersk,VRH,VRH,VMGSR,19.06.2008,,51.203,41.722,98,
217,Nogliki,-,NGL,SAGSR,18.09.2010,,51.783,143.126,9,
218,Norilsk-2,NRIL,-,OBGSR,15.12.1992,,69.505,88.441,92,
219,Obninsk,OBN,-,OBGSR,11.01.1964,,55.114,36.569,130,
220,Ogonki,-,OGK,SAGSR,07.07.2013,,46.777,142.399,34,
221,Ojidayevo,-,OJD,SAGSR,02.06.1999,,47.03,142.395,243,
222,Oktyabrskiy,-,ОКТ,SAGSR,14.01.2010,,53,128.5,386,
223,Olekminsk,OLMR,OLM,YAGSR,11.06.2010,,60.376,120.463,45,
224,Omega,-,OMEGA,FCIAR,25.08.2015,,80.78,47.732,24,
225,Omsukchan,OMS,ОМС,NEGSR,01.12.1967,,62.515,155.774,527,
226,Omchak,OCHR,ОМЧ,NEGSR,01.10.1999,,61.665,147.867,820,
227,Onguryany,OGRR,ОНГ,BAGSR,20.04.1988,,53.644,107.596,505,
228,Orenburg,ORR,ORR,OBGSR,26.10.2004,,51.618,54.753,91,
229,Orenburg-2,-,OR2,OBGSR,31.08.2007,,51.736,55.034,81,
230,Orenburg-3,-,OR3,OBGSR,01.01.2008,,51.901,54.41,198,
231,Orlik,ORL,ОРЛ,BAGSR,01.02.1967,,52.535,99.808,1375,
232,Orye,ORY,ORYE,KRAR,19.03.2004,,55.003,95.109,378,
233,Osinki,-,AUB2,VMGSR,04.09.2010,,51.245,39.26,123,
234,Ossora,OSSR,OSS,KAGSR,25.01.1973,24.07.2012,59.262,163.072,35,
235,Okha,OKH,ОХА,SAGSR,01.12.1958,,53.602,142.946,20,
236,Okha,-,OKH,SAGSR,28.11.2009,,53.602,142.946,20,
237,Okhotsk,OKHR,OKHR,NEGSR,05.10.2005,,59.361,143.248,8,
238,Okhotsk,OKHT,ОХТ,SAGSR,15.08.2007,,59.36,143.236,5,
239,Palana,PALN,PAL,KAGSR,13.11.2008,,59.094,159.968,70,
240,Pauzhetka,PAU,PAU,KAGSR,30.04.1961,,51.468,156.815,130,
241,Permilovo,-,PRM,FCIAR,01.11.2005,,63.616,40.515,52,
242,Permogore,PRGR,PRGR,OBGSR,27.11.2003,,61.638,45.627,84,
243,Petropavlovsk,PET,PET,KAGSR,18.03.1951,,53.023,158.65,100,
244,Piramida,-,PYR,KOGSR,25.06.2015,,78.656,16.353,80,
245,Plato,-,SK2,SAGSR,19.12.2013,,50.621,156.135,148,
246,Polevaya Lukashevka,-,KDS1,VMGSR,05.07.2011,,51.614,35.682,188,
247,Rybachii Peninsula,-,PRYB,KOGSR,01.11.2015,,69.746,32.183,180,
248,Pomortsevo,POMOR,POMOR,ASGSR,19.05.2014,,54.407,86.526,215,
249,Posyet,-,PSTR,OBGSR,01.12.2016,,42.651,130.804,41,
250,Priterechnaya,PRTR,PRT,NOGSR,08.08.2005,,43.752,44.282,136,
251,Pulkovo,PUL,-,OBGSR,09.12.1906,,59.773,30.322,89,
252,Pyatigorsk,PYA1,PYA1,KMGSR,02.10.2008,,44.063,43.096,614,
253,Romanovo,PR1R,PR1R,OBGSR,18.08.2000,,59.185,56.745,144,
254,Russkaya,RUS,RUS,KAGSR,21.12.1987,,52.432,158.513,125,
255,Salair,SALR,SAL,ASGSR,02.03.2005,,54.417,85.703,250,
256,Samagaltai,-,SGT,KRAR,17.04.2007,,50.654,95.334,1123,
257,Sarany,-,PR7R,MIRAS,14.11.2013,,58.552,58.76,440,
258,Saratov,SARR,SARR,OBGSR,19.11.2005,,51.389,45.287,165,
259,Saryg-Sep,-,SGP,KRAR,27.04.2007,,51.492,95.548,719,
260,Sverdlovsk,SVE,-,OBGSR,21.10.1906,,56.827,60.632,278,
261,Severo-Kurilsk,SKR,СВК,SAGSR,01.03.1958,,50.67,156.116,23,
262,Severo-Kurilsk,SKR.TSU,СВК,SAGSR,01.03.2011,,50.67,156.116,23,
263,Severomuysk,SVKR,С-М,BAGSR,05.09.2000,,56.159,113.52,850,
264,Severouralsk,SVUR,SVUR,OBGSR,09.06.2007,,60.199,59.978,-139,
265,Sedlovina,SDLR,SDL,KAGSR,17.12.1991,,53.278,158.887,1230,
266,Seimchan,SEY,СМЧ,NEGSR,03.04.1969,,62.934,152.384,218,
267,Semkarok,SMKR,SMK,KAGSR,18.09.2005,,56.582,161.468,895,
268,Sergokala,SGKR,SGK,DAGSR,10.01.1997,,42.458,47.656,560,
269,Solovki,SLVR,SLV,FCIAR,14.10.2012,,65.028,35.702,15,
270,Soloneshenskaya,SLNR,SLN,ASGSR,18.10.2003,,49.777,88.467,2057,
271,Somma,SMAR,SMA,KAGSR,06.03.1991,,53.266,158.812,2050,
272,Sorokina,SRKR,SRK,KAGSR,18.09.2005,,56.654,161.168,845,
273,Sochi,SOC,-,OBGSR,01.01.1928,,43.57,39.763,180,
274,Sredinnyy,SRDR,SRD,KAGSR,04.01.1992,,56.319,159.693,830,
275,-,STDR,STDR,NOGSR,04.03.2009,,43.369,44.063,352,
276,Starodubskoe,-,STRD,SAGSR,22.10.2012,,47.41,142.838,9,
277,Stekolnyy,MGD,СТК,NEGSR,26.03.1971,,60.047,150.732,221,
278,Stepnoy Dvorets,STDB,STD,BUGSR,01.08.1999,,52.169,106.366,458,
279,Stolb,-,SOT,YAGSR,16.08.2013,,72.403,126.812,50,
280,Storozhevoye,VSR,VSR,VMGSR,03.09.2007,,51.216,39.166,187,
281,Suvo,SYVR,СУВ,BAGSR,28.05.1984,,53.659,110,530,
282,Susuman,SUUS,СМН,NEGSR,01.06.1998,,62.779,148.167,640,
283,Sukhoy Ruchey,-,VBR,BUGSR,22.03.2012,,51.798,106.015,478,
284,Syktyvkar,SYKR,-,OBGSR,01.01.2002,,61.642,50.732,155,
285,Tabaga,TBGR,TBG,YAGSR,24.06.2003,,61.821,129.637,98,
286,Tabat,TBTR,TBT,KRAR,27.05.2005,,52.929,90.72,518,
287,Talaya,TLAR,ТЛА,NEGSR,20.01.1989,22.09.2000,61.13,152.398,720,
288,Talaya,TLY,TLY,OBGSR,11.11.1982,,51.681,103.644,579,
289,Talaya,-,ТАЛ,BAGSR,11.11.1982,,51.681,103.644,579,
290,Tashtagol,TASR,TASR,ASGSR,01.09.1988,,52.762,87.88,529,
