28|4|6|GEM|Geminids                                | annual |-2|260.8|112.1|32.5|       |       |34.1|1.33|0.144|0.891|324.3|260.8|23.3|14850|0|0|                                        |                                                                                                                                                      |C   |7) Jenniskens et al., 2018 sub. to PSS
29|5|0|SDA|Southern delta Aquariids                | annual |1|125.6|342.1|-15.4|       |       |40.5|3.107|0.087|       |148.9|312.2|26.4|     |297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |P   |1) Dutch Meteor Society 2001
30|5|1|SDA|Southern delta Aquariids                | annual |1|127.2|340.4|-16.3|0.73|0.26|40.2|       |0.067|0.966|154.5|307.2|30.8|2413|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |R   |2) <A href='http://adsabs.harvard.edu/abs/2002dsso.conf...48G' target=_blank>Galligan and Baggaley, 2002</A>
31|5|2|SDA|Southern delta Aquariids                | annual |1|126.7|339.6|-16.1|0.75|0.21|41.01|2.8|0.079|       |150.6|306.7|25.5|28|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |P   |3) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A> 
32|5|3|SDA|Southern delta Aquariids                | annual |1|125.6|305.7|-16.1|0.8|0.18|41.4|2.875|0.069|       |152.8|152.8|27.2|13|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |    |4) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A> 
33|5|4|SDA|Southern delta Aquariids                | annual |1|126.5|340.1|-17|0.9|0.2|40.8|2.33|0.07|       |152.4|306.5|32.5|48|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |R   |5) <A href='http://adsabs.harvard.edu/abs/1964AuJPh..17..205N' target=_blank>Nilson, 1964</A> 
34|5|5|SDA|Southern delta Aquariids                | annual |1|128.2|341|-15.8|       |       |40.8|       |0.078|0.972|151.1|308.2|26.9|11|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |P   |6) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
35|5|6|SDA|Southern delta Aquariids                |2002/06 |1|126.5|341|-16.1|0.78|0.25|41.1|2.38|0.065|0.9726|153.9|306.2|30.9|4722|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |R   |7) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
36|5|7|SDA|Southern delta Aquariids                |2007/08 |1|129.7|341.9|-16.2|0.62|0.26|39.4|       |       |       |       |       |       |324|297|3|Marsden group                           |Member of 297/DAQ Complex                                                                                                                             |T   |8) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
37|5|8|SDA|Southern delta Aquariids                | annual |1|128|341.3|-15.7|0.95|0.38|41.3|2.59|0.069|0.975|152.9|306.6|29|1382|297|3|2008 Y12, Marsden group                 |Member of 297/DAQ Complex                                                                                                                             |T   |9) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
38|5|9|SDA|Southern delta Aquariids                | annual |-2|126.8|340.2|-16.3|       |       |40.6|2.53|0.077|0.968|151.7|306.8|28|5929|0|0|                                        |                                                                                                                                                      |C   |10) Jenniskens et al., 2018 sub. to PSS
39|6|0|LYR|April Lyrids                            | annual |1|32.4|272|33.3|       |       |46.6|45.7|0.921|       |214.3|31.8|79.6|     |0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |P   |1) Dutch Meteor Society 2001
40|6|1|LYR|April Lyrids                            | annual |1|32.4|271.9|33.3|1.23|0.17|47.07|56|0.918|       |214.5|32.2|79.5|7|0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |P   |2) <A href='http://adsabs.harvard.edu/abs/1970BAICz..21..153K' target=_blank>Kresak and Porubcan, 1970</A> 
41|6|2|LYR|April Lyrids                            | annual |1|32.4|271.9|33.6|1.1|0|47.6|28|0.919|       |214.3|32.5|79|5|0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |    |3) <A href='http://adsabs.harvard.edu/abs/1973NASSP.319..183C' target=_blank>Cook, 1973</A> 
42|6|3|LYR|April Lyrids                            | annual |1|32.4|272|33.3|       |       |47.1|       |0.919|0.989|214.2|32.4|79.8|6|0|0|                                        |                                                                                                                                                      |P   |4) <A href='http://adsabs.harvard.edu/abs/2003MNRAS.344..665J' target=_blank>Jopek et al., 2003</A>
43|6|4|LYR|April Lyrids                            |2002/06 |1|32.5|272.3|32.6|1.5|-0.3|47.3|22.2|0.913|0.9589|215.8|32.3|80.7|26|0|0|                                        |                                                                                                                                                      |R   |5) <A href='http://adsabs.harvard.edu/abs/2008Icar..195..317B' target=_blank>Brown et al., 2008</A> 
44|6|5|LYR|April Lyrids                            |2007/08 |1|32.5|272.6|33.2|0.82|-0.29|46.7|       |       |       |       |       |       |73|0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |T   |6) <A href='http://adsabs.harvard.edu/abs/2009JIMO...37...55S' target=_blank>SonotaCo, 2009</A> 
45|6|6|LYR|April Lyrids                            |2002/08 |1|32|272.2|32.6|0.62|-0.33|46.6|10.85|0.9149|0.916|215.71|32|80|1197|0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |R   |7) <A href='http://adsabs.harvard.edu/abs/2010Icar..207...66B' target=_blank>Brown et al., 2010</A> 
46|6|7|LYR|April Lyrids                            | annual |1|32|272|33.4|0.66|0.02|46.7|10.8|0.921|0.956|214|32.3|79.4|258|0|0|C/1861 G1 (Thatcher)                    |                                                                                                                                                      |T   |8) <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank> Jenniskens et al., 2016, Icarus, 266, 331 </A>
