# Shower lookup table measured using GMN data up to May 18, 2023
# Using the wmpl.Utils.ShowerTableMeasurement script in WMPL
# 
# The table is sampled at 0.2 deg solar longitude. The SCE (Sun-centered 
# ecliptic) longitude is the ecliptic longitude minus the solar 
# longitude. The "Disp" column is the measured dispersion which changes 
# over time. A meteor is considered a shower member if it has been observed 
# within 1 deg of solar longitude of a table entry, within 10% of Vg, and
# within the listed dispersion.
#
# IAU showers not present in the table:
# XRI, BIN, OSE, NDD, LOP, FSO, DRG, MXA, HNJ, FCL, LAP, NMV, AAC, VOL, ZPH, 
# ILU, EGR, TPG, JDP, ODS, CRN, OEV, TSC, MBA, BEC, AST, ZPA, EVO, NMD, JMD, 
# OAB, SEC, FVI, AGE, ATH, OVI, PPE, FBO, OMH, 
# 
# Sol  SCE lon  SCE lat       Vg  Disp  IAU IAU
# deg      deg      deg     km/s  deg    No  cd
# 
  2.4  184.607    5.582   25.833  3.12   11 EVI
  2.4  295.801   60.497   43.678  5.34   40 ZCY
  2.4  283.370  -76.821   36.697  3.00  130 DME
  2.4  211.139    5.869   40.407  3.17  448 AAL
  2.4  262.864   33.554   61.442  4.22  599 POS
  2.4  176.492   26.015   27.334  2.63  647 BCO
  2.4  265.674   23.667   66.142  4.05  648 TAL
  2.4  205.401   -4.691   38.674  3.57  750 SMV
  2.4  324.690   19.937   49.060  2.73  792 MBE
  2.4  240.368   12.850   63.265  3.46  862 SSR
  2.4  261.609    6.593   70.829  1.90  893 EOP
  2.6  184.522    5.598   25.784  3.10   11 EVI
  2.6  295.809   60.475   43.673  5.34   40 ZCY
  2.6  283.332  -76.821   36.711  3.00  130 DME
  2.6  211.129    5.850   40.417  3.19  448 AAL
  2.6  262.876   33.548   61.440  4.18  599 POS
  2.6  176.458   26.095   27.323  2.65  647 BCO
  2.6  265.671   23.676   66.134  4.05  648 TAL
  2.6  205.375   -4.686   38.661  3.57  750 SMV
  2.6  324.611   19.953   49.060  2.77  792 MBE
  2.6  240.362   12.842   63.268  3.47  862 SSR
  2.6  261.560    6.593   70.830  1.84  893 EOP
  2.8  184.437    5.613   25.734  3.09   11 EVI
  2.8  295.817   60.454   43.668  5.34   40 ZCY
  2.8  283.294  -76.821   36.726  3.00  130 DME
  2.8  211.120    5.831   40.428  3.21  448 AAL
  2.8  262.889   33.542   61.439  4.14  599 POS
  2.8  176.424   26.175   27.312  2.67  647 BCO
  2.8  265.668   23.684   66.127  4.05  648 TAL
  2.8  205.348   -4.681   38.649  3.57  750 SMV
  2.8  324.533   19.968   49.061  2.82  792 MBE
  2.8  240.356   12.835   63.270  3.48  862 SSR
  2.8  261.512    6.593   70.831  1.77  893 EOP
  3.0  184.352    5.628   25.685  3.07   11 EVI
  3.0  295.826   60.432   43.663  5.34   40 ZCY
  3.0  283.256  -76.821   36.740  3.00  130 DME
  3.0  211.111    5.812   40.439  3.22  448 AAL
  3.0  262.902   33.537   61.437  4.11  599 POS
  3.0  176.390   26.255   27.301  2.69  647 BCO
  3.0  265.665   23.692   66.119  4.05  648 TAL
  3.0  205.322   -4.676   38.637  3.57  750 SMV
  3.0  324.455   19.983   49.062  2.86  792 MBE
  3.0  240.349   12.828   63.273  3.49  862 SSR
  3.0  261.464    6.593   70.832  1.70  893 EOP
  3.2  184.267    5.644   25.636  3.05   11 EVI
  3.2  295.834   60.410   43.658  5.34   40 ZCY
  3.2  283.219  -76.821   36.754  3.00  130 DME
  3.2  211.101    5.793   40.449  3.24  448 AAL
  3.2  262.914   33.531   61.435  4.07  599 POS
  3.2  176.355   26.335   27.290  2.71  647 BCO
  3.2  265.662   23.700   66.111  4.05  648 TAL
  3.2  205.296   -4.670   38.625  3.57  750 SMV
  3.2  324.377   19.998   49.063  2.91  792 MBE
  3.2  240.343   12.820   63.276  3.50  862 SSR
  3.2  261.415    6.593   70.833  1.63  893 EOP
  3.4  184.183    5.659   25.587  3.03   11 EVI
  3.4  295.842   60.389   43.652  5.34   40 ZCY
  3.4  283.181  -76.821   36.769  3.00  130 DME
  3.4  211.092    5.774   40.460  3.26  448 AAL
  3.4  262.927   33.525   61.434  4.04  599 POS
  3.4  176.321   26.415   27.279  2.73  647 BCO
  3.4  265.659   23.708   66.103  4.05  648 TAL
  3.4  205.269   -4.665   38.613  3.58  750 SMV
  3.4  324.299   20.013   49.063  2.95  792 MBE
  3.4  240.337   12.813   63.279  3.50  862 SSR
  3.4  261.367    6.593   70.833  1.57  893 EOP
  3.6  184.098    5.674   25.538  3.02   11 EVI
  3.6  295.851   60.367   43.647  5.34   40 ZCY
  3.6  283.143  -76.820   36.783  3.00  130 DME
  3.6  211.083    5.755   40.471  3.28  448 AAL
  3.6  262.939   33.519   61.432  4.00  599 POS
  3.6  176.287   26.495   27.268  2.75  647 BCO
  3.6  265.656   23.716   66.095  4.05  648 TAL
  3.6  205.243   -4.660   38.600  3.58  750 SMV
  3.6  324.221   20.028   49.064  3.00  792 MBE
  3.6  240.331   12.806   63.281  3.49  862 SSR
  3.6  261.319    6.593   70.834  1.50  893 EOP
  3.8  184.013    5.689   25.489  3.00   11 EVI
  3.8  295.859   60.346   43.642  5.34   40 ZCY
  3.8  283.105  -76.820   36.798  3.00  130 DME
  3.8  211.073    5.736   40.482  3.29  448 AAL
  3.8  262.952   33.514   61.430  3.97  599 POS
  3.8  176.252   26.575   27.257  2.77  647 BCO
  3.8  265.653   23.724   66.088  4.05  648 TAL
  3.8  205.216   -4.655   38.588  3.58  750 SMV
  3.8  324.143   20.044   49.065  3.00  792 MBE
  3.8  240.325   12.798   63.284  3.49  862 SSR
  3.8  261.270    6.593   70.835  1.50  893 EOP
  4.0  183.928    5.705   25.440  2.98   11 EVI
  4.0  295.867   60.324   43.637  5.34   40 ZCY
  4.0  283.068  -76.820   36.812  3.00  130 DME
  4.0  211.064    5.717   40.492  3.31  448 AAL
  4.0  262.964   33.508   61.429  3.93  599 POS
  4.0  176.218   26.655   27.246  2.79  647 BCO
  4.0  265.649   23.732   66.080  4.05  648 TAL
  4.0  205.190   -4.650   38.576  3.58  750 SMV
  4.0  324.065   20.059   49.065  3.00  792 MBE
  4.0  240.319   12.791   63.287  3.48  862 SSR
  4.0  261.222    6.593   70.836  1.50  893 EOP
  4.2  183.843    5.720   25.391  2.97   11 EVI
  4.2  295.875   60.302   43.632  5.34   40 ZCY
  4.2  211.054    5.698   40.503  3.33  448 AAL
  4.2  262.977   33.502   61.427  3.89  599 POS
  4.2  176.184   26.735   27.235  2.81  647 BCO
  4.2  265.646   23.740   66.072  4.05  648 TAL
  4.2  205.163   -4.645   38.564  3.58  750 SMV
  4.2  323.986   20.074   49.066  3.00  792 MBE
  4.2  240.313   12.784   63.289  3.48  862 SSR
  4.2  261.174    6.593   70.837  1.50  893 EOP
  4.4  183.758    5.735   25.342  2.96   11 EVI
  4.4  295.884   60.281   43.626  5.34   40 ZCY
  4.4  211.045    5.679   40.514  3.34  448 AAL
  4.4  262.989   33.497   61.425  3.86  599 POS
  4.4  176.149   26.815   27.224  2.83  647 BCO
  4.4  265.643   23.748   66.064  4.05  648 TAL
  4.4  205.137   -4.640   38.551  3.58  750 SMV
  4.4  323.908   20.089   49.067  3.00  792 MBE
  4.4  240.307   12.776   63.292  3.47  862 SSR
  4.4  261.125    6.593   70.838  1.50  893 EOP
  4.6  183.673    5.750   25.293  2.96   11 EVI
  4.6  295.892   60.259   43.621  5.34   40 ZCY
  4.6  211.036    5.660   40.525  3.36  448 AAL
  4.6  263.002   33.491   61.424  3.82  599 POS
  4.6  176.115   26.895   27.213  2.85  647 BCO
  4.6  265.640   23.756   66.057  4.05  648 TAL
  4.6  205.111   -4.635   38.539  3.58  750 SMV
  4.6  323.830   20.104   49.068  3.00  792 MBE
  4.6  240.300   12.769   63.295  3.47  862 SSR
  4.6  261.077    6.594   70.838  1.50  893 EOP
  4.8  183.588    5.766   25.244  2.96   11 EVI
  4.8  295.900   60.237   43.616  5.34   40 ZCY
  4.8  211.026    5.641   40.535  3.38  448 AAL
  4.8  263.014   33.485   61.422  3.79  599 POS
  4.8  176.081   26.975   27.202  2.87  647 BCO
  4.8  265.637   23.764   66.049  4.05  648 TAL
  4.8  205.084   -4.630   38.527  3.59  750 SMV
  4.8  323.752   20.120   49.068  3.00  792 MBE
  4.8  240.294   12.762   63.298  3.47  862 SSR
  4.8  261.028    6.594   70.839  1.50  893 EOP
  5.0  183.503    5.781   25.195  2.96   11 EVI
